canonical_smiles,molecule_chembl_id,standard_value,value,target_chembl_id,pIC50
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,41.0,0.041,CHEMBL203,7.3872161432802645
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,170.0,0.17,CHEMBL203,6.769551078621726
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL137635,9300.0,9.3,CHEMBL203,5.031517051446065
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],CHEMBL77085,96000.0,96.0,CHEMBL203,4.017728766960432
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL443268,5310.0,5.31,CHEMBL203,5.274905478918531
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,125.0,0.125,CHEMBL203,6.903089986991944
N#CC(C#N)=Cc1ccc(O)c(O)c1,CHEMBL76904,35000.0,35.0,CHEMBL203,4.455931955649724
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL304271,0.45,0.00045,CHEMBL203,9.346787486224656
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,CHEMBL296407,10000.0,10.0,CHEMBL203,5.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,CHEMBL309625,60000.0,60.0,CHEMBL203,4.221848749616356
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,CHEMBL310798,3000.0,3.0,CHEMBL203,5.522878745280337
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL135592,8000.0,8.0,CHEMBL203,5.096910013008056
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL136491,14.0,0.014,CHEMBL203,7.853871964321762
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,CHEMBL336113,1000.0,1.0,CHEMBL203,6.0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL133024,100.0,0.1,CHEMBL203,7.0
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,CHEMBL344652,13350.0,13.35,CHEMBL203,4.874518734299406
O=CN/C=C/c1cc(O)ccc1O,CHEMBL47986,14000.0,14.0,CHEMBL203,4.853871964321762
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,CHEMBL138125,238.0,0.238,CHEMBL203,6.623423042943488
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL137364,64.0,0.064,CHEMBL203,7.1938200260161125
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,CHEMBL302552,22.0,0.022,CHEMBL203,7.657577319177793
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,CHEMBL309598,13500.0,13.5,CHEMBL203,4.8696662315049934
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL67057,4.5,0.0045,CHEMBL203,8.346787486224656
Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL332096,508.0,0.508,CHEMBL203,6.294136287716081
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,CHEMBL432903,200.0,0.2,CHEMBL203,6.698970004336019
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,CHEMBL69964,210.0,0.21,CHEMBL203,6.6777807052660805
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL65848,1410.0,1.41,CHEMBL203,5.85078088734462
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,CHEMBL76985,47000.0,47.0,CHEMBL203,4.327902142064283
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,6.5,0.0065,CHEMBL203,8.187086643357144
CN(c1ccccc1)c1ncnc2ccc(N)cc12,CHEMBL136492,8400.0,8.4,CHEMBL203,5.075720713938118
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,CHEMBL68258,20000.0,20.0,CHEMBL203,4.698970004336019
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL66570,13.0,0.013,CHEMBL203,7.886056647693163
N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL311119,60000.0,60.0,CHEMBL203,4.221848749616356
N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL76905,37000.0,37.0,CHEMBL203,4.431798275933005
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305194,29.0,0.029,CHEMBL203,7.5376020021010435
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,6000.0,6.0,CHEMBL203,5.221848749616356
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL343352,200.0,0.2,CHEMBL203,6.698970004336019
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,44.0,0.044,CHEMBL203,7.356547323513812
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL76642,75000.0,75.0,CHEMBL203,4.1249387366083
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL308645,4.7,0.0047,CHEMBL203,8.327902142064282
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL67003,1.8,0.0018,CHEMBL203,8.744727494896694
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL134312,11.0,0.011,CHEMBL203,7.958607314841775
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,CHEMBL77243,55000.0,55.0,CHEMBL203,4.259637310505756
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,CHEMBL80745,1200.0,1.2,CHEMBL203,5.920818753952375
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305246,2.8,0.0028,CHEMBL203,8.55284196865778
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,18.0,0.018,CHEMBL203,7.7447274948966935
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,CHEMBL47940,3200.0,3.2,CHEMBL203,5.494850021680094
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,1.2,0.0012,CHEMBL203,8.920818753952375
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL137189,200.0,0.2,CHEMBL203,6.698970004336019
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137617,39.0,0.039,CHEMBL203,7.4089353929735005
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137027,482.0,0.482,CHEMBL203,6.31695296176115
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,CHEMBL78257,800.0,0.8,CHEMBL203,6.096910013008056
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL309334,2500.0,2.5,CHEMBL203,5.6020599913279625
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL304971,410.0,0.41,CHEMBL203,6.3872161432802645
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69071,5.9,0.0059,CHEMBL203,8.229147988357855
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137534,38.0,0.038,CHEMBL203,7.42021640338319
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137788,335.0,0.335,CHEMBL203,6.474955192963154
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69709,20000.0,20.0,CHEMBL203,4.698970004336019
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,CHEMBL424093,25.0,0.025,CHEMBL203,7.6020599913279625
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL77030,2400.0,2.4,CHEMBL203,5.619788758288394
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,CHEMBL69106,20000.0,20.0,CHEMBL203,4.698970004336019
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,1.1,0.0011,CHEMBL203,8.958607314841775
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,CHEMBL305782,180.0,0.18,CHEMBL203,6.7447274948966935
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL308672,450.0,0.45,CHEMBL203,6.346787486224656
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,CHEMBL133023,24.0,0.024,CHEMBL203,7.619788758288394
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136674,71.0,0.071,CHEMBL203,7.1487416512809245
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL73820,25000.0,25.0,CHEMBL203,4.6020599913279625
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,CHEMBL77803,500.0,0.5,CHEMBL203,6.301029995663981
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,CHEMBL432941,8880.0,8.88,CHEMBL203,5.051587034221399
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,CHEMBL420609,100000.0,100.0,CHEMBL203,4.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,CHEMBL419682,100000.0,100.0,CHEMBL203,4.0
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,CHEMBL322395,3000.0,3000.0,CHEMBL203,5.522878745280337
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL88462,100000.0,100.0,CHEMBL203,4.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,CHEMBL431996,56500.0,56.5,CHEMBL203,4.247951552180561
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,CHEMBL91250,100000.0,100.0,CHEMBL203,4.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,CHEMBL88771,100000.0,100.0,CHEMBL203,4.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,CHEMBL91815,100000.0,100.0,CHEMBL203,4.0
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL328029,100000.0,100.0,CHEMBL203,4.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,CHEMBL314995,100000.0,100.0,CHEMBL203,4.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,CHEMBL88483,100000.0,100.0,CHEMBL203,4.0
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL313746,100000.0,100.0,CHEMBL203,4.0
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,CHEMBL89363,100000.0,100.0,CHEMBL203,4.0
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,CHEMBL276711,100000.0,100.0,CHEMBL203,4.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,CHEMBL313500,100000.0,100.0,CHEMBL203,4.0
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL89010,100000.0,100.0,CHEMBL203,4.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,CHEMBL86531,29100.0,29.1,CHEMBL203,4.536107011014093
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,CHEMBL315753,100000.0,100.0,CHEMBL203,4.0
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,CHEMBL88606,100000.0,100.0,CHEMBL203,4.0
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,CHEMBL313821,100000.0,100.0,CHEMBL203,4.0
O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,CHEMBL266969,50000.0,50.0,CHEMBL203,4.301029995663981
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL138691,4.2,4.2,CHEMBL203,8.3767507096021
Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,CHEMBL52829,4.0,4.0,CHEMBL203,8.397940008672037
Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,CHEMBL52823,380.0,380.0,CHEMBL203,6.42021640338319
O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,CHEMBL8000,100000.0,100.0,CHEMBL203,4.0
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL139307,3.3,3.3,CHEMBL203,8.481486060122112
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,CHEMBL322298,200.0,0.2,CHEMBL203,6.698970004336019
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,CHEMBL111434,670.0,0.67,CHEMBL203,6.173925197299173
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,CHEMBL111197,30.0,0.03,CHEMBL203,7.522878745280337
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(Cl)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(Cl)c21,CHEMBL291667,100000.0,100.0,CHEMBL203,4.0
COC(=O)c1cc(Nc2ccc(F)cc2)c(Nc2ccc(F)cc2)cc1C(=O)OC,CHEMBL8091,100000.0,100.0,CHEMBL203,4.0
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL136058,0.81,0.81,CHEMBL203,9.09151498112135
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21,CHEMBL113128,50000.0,50.0,CHEMBL203,4.301029995663981
COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL51854,3.8,3.8,CHEMBL203,8.42021640338319
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,515.0,0.515,CHEMBL203,6.288192770958809
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL95320,850.0,0.85,CHEMBL203,6.070581074285707
O=C1NC(=O)c2cc(Sc3ccccc3)c(Sc3ccccc3)cc21,CHEMBL8271,100000.0,100.0,CHEMBL203,4.0
Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,CHEMBL298931,17.0,17.0,CHEMBL203,7.769551078621726
COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,CHEMBL292323,6500.0,6.5,CHEMBL203,5.187086643357144
COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,CHEMBL334334,9000.0,9.0,CHEMBL203,5.045757490560675
O=C(O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,CHEMBL316764,100000.0,100.0,CHEMBL203,4.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL545315,1.5,1.5,CHEMBL203,8.823908740944319
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,CHEMBL111365,1300.0,1.3,CHEMBL203,5.886056647693163
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,CHEMBL52591,4.3,4.3,CHEMBL203,8.366531544420413
Cc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(C)cc4n3C)n(C)c2c1,CHEMBL64459,100000.0,100.0,CHEMBL203,4.0
COC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1OC,CHEMBL129989,100000.0,100.0,CHEMBL203,4.0
COC(=O)c1cc(NCc2ccccc2O)ccc1O,CHEMBL132907,20000.0,20.0,CHEMBL203,4.698970004336019
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,CHEMBL268368,100000.0,100.0,CHEMBL203,4.0
CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL422292,1.5,1.5,CHEMBL203,8.823908740944319
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21,CHEMBL110034,5000.0,5.0,CHEMBL203,5.301029995663981
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,CHEMBL113023,250.0,0.25,CHEMBL203,6.6020599913279625
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,CHEMBL417420,2.9,2.9,CHEMBL203,8.537602002101044
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,CHEMBL304414,10000.0,10.0,CHEMBL203,5.0
CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,CHEMBL106232,4500.0,4.5,CHEMBL203,5.346787486224656
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,CHEMBL327127,90.0,0.09,CHEMBL203,7.045757490560675
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,CHEMBL294475,0.81,0.81,CHEMBL203,9.09151498112135
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,CHEMBL266487,50000.0,50.0,CHEMBL203,4.301029995663981
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,CHEMBL293261,850.0,0.85,CHEMBL203,6.070581074285707
CNc1ncc2ncnc(Nc3ccccc3)c2n1,CHEMBL53310,13.0,13.0,CHEMBL203,7.886056647693163
O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,CHEMBL267019,2500.0,2.5,CHEMBL203,5.6020599913279625
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,0.7,0.7,CHEMBL203,9.154901959985743
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL136404,0.5,0.5,CHEMBL203,9.301029995663981
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccc3)nc21,CHEMBL113356,50000.0,50.0,CHEMBL203,4.301029995663981
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C#N)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C#N)ccc21,CHEMBL291979,54100.0,54.1,CHEMBL203,4.266802734893431
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(O)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(O)c21,CHEMBL62843,100000.0,100.0,CHEMBL203,4.0
CN1C(=S)C(C)(C(=O)Nc2ccccc2)c2ccccc21,CHEMBL63009,100000.0,100.0,CHEMBL203,4.0
CN(c1ccccc1)c1cc2c(cc1N(C)c1ccccc1)C(=O)NC2=O,CHEMBL267941,50000.0,50.0,CHEMBL203,4.301029995663981
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL334697,0.17,0.17,CHEMBL203,9.769551078621726
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL434827,0.73,0.73,CHEMBL203,9.136677139879543
Cc1cccc2c1c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3c(C)cccc3n1C)n2C,CHEMBL292287,100000.0,100.0,CHEMBL203,4.0
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc([N+](=O)[O-])ccc3n2C)c(C(=O)Nc2ccccc2)c2cc([N+](=O)[O-])ccc21,CHEMBL64430,5000.0,5.0,CHEMBL203,5.301029995663981
CC(=O)Oc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(OC(C)=O)cc4n3C)n(C)c2c1,CHEMBL64068,100000.0,100.0,CHEMBL203,4.0
CN1C(=S)C(C(=O)Nc2ccccc2)c2cc(Cl)ccc21,CHEMBL62067,100000.0,100.0,CHEMBL203,4.0
CSc1c(C(=O)Nc2ccccc2)c2ccccc2n1C,CHEMBL64814,100000.0,100.0,CHEMBL203,4.0
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL137082,2.7,2.7,CHEMBL203,8.568636235841012
CN(C)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,CHEMBL299347,50000.0,50.0,CHEMBL203,4.301029995663981
COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,CHEMBL324926,330.0,0.33,CHEMBL203,6.481486060122113
Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL53311,82.0,82.0,CHEMBL203,7.086186147616283
CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,CHEMBL62176,1000.0,1.0,CHEMBL203,6.0
O=C(O)c1cc(/N=C/c2ccccc2O)ccc1O,CHEMBL130694,20000.0,20.0,CHEMBL203,4.698970004336019
COC(=O)c1cc(NCc2cccc(O)c2)ccc1O,CHEMBL423159,21000.0,21.0,CHEMBL203,4.6777807052660805
CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,CHEMBL109759,5000.0,5.0,CHEMBL203,5.301029995663981
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL299622,0.76,0.76,CHEMBL203,9.119186407719209
C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL138363,1.6,1.6,CHEMBL203,8.795880017344075
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL93464,0.55,0.55,CHEMBL203,9.259637310505756
Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL53831,1.5,1.5,CHEMBL203,8.823908740944319
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,CHEMBL299881,2.3,2.3,CHEMBL203,8.638272163982407
Clc1ncc2ncnc(Nc3ccccc3)c2n1,CHEMBL50027,2550.0,2550.0,CHEMBL203,5.5934598195660445
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,CHEMBL31965,74.0,0.074,CHEMBL203,7.130768280269024
CCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL344486,2.7,2.7,CHEMBL203,8.568636235841012
O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL138940,0.61,0.61,CHEMBL203,9.214670164989233
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21,CHEMBL321193,150.0,0.15,CHEMBL203,6.823908740944319
CCOC(=O)CCCc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,CHEMBL419022,700.0,0.7,CHEMBL203,6.154901959985743
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,CHEMBL53426,0.25,0.25,CHEMBL203,9.602059991327963
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL53711,2.6,2.6,CHEMBL203,8.585026652029182
O=C(/C=C/Cl)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL344177,0.69,0.69,CHEMBL203,9.161150909262744
CC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136178,1.2,1.2,CHEMBL203,8.920818753952375
C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136511,1.4,1.4,CHEMBL203,8.853871964321762
Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,CHEMBL416307,3.0,3.0,CHEMBL203,8.522878745280337
Cc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(C)c4n3C)n(C)c12,CHEMBL64165,100000.0,100.0,CHEMBL203,4.0
O=C(O)c1cccc(/N=C/c2cc(O)ccc2O)c1,CHEMBL130116,20000.0,20.0,CHEMBL203,4.698970004336019
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL44,1000.0,1.0,CHEMBL203,6.0
CN(C)CCCNC(=O)/C=C/C(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL136102,1.45,1.45,CHEMBL203,8.838631997765026
C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL336264,0.43,0.43,CHEMBL203,9.366531544420413
